بطاقة إلكترونية,غير محدد,500000,مساهمة وطنية في تطوير الخدمات الذكية للمدن,2026-06-12 10:01
بطاقة إلكترونية,غير محدد,5000,فاتورة مياه,2026-06-12 10:57
بطاقة إلكترونية,غير محدد,5555,فاتورة مياه,2026-06-12 11:00
بطاقة إلكترونية,غير محدد,5555,فاتورة مياه,2026-06-12 11:03
بطاقة إلكترونية,غير محدد,5000,فاتورة مياه,2026-06-12 11:31
بطاقة إلكترونية,غير محدد,5000,فاتورة مياه,2026-06-12 11:32
بطاقة إلكترونية,غير محدد,5000,فاتورة مياه,2026-06-12 11:47
بطاقة إلكترونية,غير محدد,5200,معاملات النقل,2026-06-13 19:54
بطاقة إلكترونية,غير محدد,5000,فاتورة مياه,2026-06-19 10:36
بطاقة إلكترونية,غير محدد,50,التعليم الخاص,2026-06-19 10:37
